sample	unit	platform	fq1	fq2	RG
13Jan22-1_EF5N_S73	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/13Jan22-1_EF5N_S73_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/13Jan22-1_EF5N_S73_L002_R2_001.fastq.gz	@RG\tID:13Jan22-1_EF5N_S73\tSM:13Jan22-1_EF5N_S73\tPU:none\tLB:13Jan22-1_EF5N_S73\tPL:ILLUMINA
13Jan22-2_EF9N_S74	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/13Jan22-2_EF9N_S74_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/13Jan22-2_EF9N_S74_L002_R2_001.fastq.gz	@RG\tID:13Jan22-2_EF9N_S74\tSM:13Jan22-2_EF9N_S74\tPU:none\tLB:13Jan22-2_EF9N_S74\tPL:ILLUMINA
13Jan22-3_EF16N_S75	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/13Jan22-3_EF16N_S75_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/13Jan22-3_EF16N_S75_L002_R2_001.fastq.gz	@RG\tID:13Jan22-3_EF16N_S75\tSM:13Jan22-3_EF16N_S75\tPU:none\tLB:13Jan22-3_EF16N_S75\tPL:ILLUMINA
13Jan22-4_EF27N_S76	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/13Jan22-4_EF27N_S76_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/13Jan22-4_EF27N_S76_L002_R2_001.fastq.gz	@RG\tID:13Jan22-4_EF27N_S76\tSM:13Jan22-4_EF27N_S76\tPU:none\tLB:13Jan22-4_EF27N_S76\tPL:ILLUMINA
13Jan22-5_EF29N_S77	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/13Jan22-5_EF29N_S77_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/13Jan22-5_EF29N_S77_L002_R2_001.fastq.gz	@RG\tID:13Jan22-5_EF29N_S77\tSM:13Jan22-5_EF29N_S77\tPU:none\tLB:13Jan22-5_EF29N_S77\tPL:ILLUMINA
13Jan22-6_EF43N_S78	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/13Jan22-6_EF43N_S78_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/13Jan22-6_EF43N_S78_L002_R2_001.fastq.gz	@RG\tID:13Jan22-6_EF43N_S78\tSM:13Jan22-6_EF43N_S78\tPU:none\tLB:13Jan22-6_EF43N_S78\tPL:ILLUMINA
13Jan22-7_EF48N_S79	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/13Jan22-7_EF48N_S79_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/13Jan22-7_EF48N_S79_L002_R2_001.fastq.gz	@RG\tID:13Jan22-7_EF48N_S79\tSM:13Jan22-7_EF48N_S79\tPU:none\tLB:13Jan22-7_EF48N_S79\tPL:ILLUMINA
13Jan22-8_EF53N_S80	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/13Jan22-8_EF53N_S80_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/13Jan22-8_EF53N_S80_L002_R2_001.fastq.gz	@RG\tID:13Jan22-8_EF53N_S80\tSM:13Jan22-8_EF53N_S80\tPU:none\tLB:13Jan22-8_EF53N_S80\tPL:ILLUMINA
13Jan22-9_EF66N_S81	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/13Jan22-9_EF66N_S81_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/13Jan22-9_EF66N_S81_L002_R2_001.fastq.gz	@RG\tID:13Jan22-9_EF66N_S81\tSM:13Jan22-9_EF66N_S81\tPU:none\tLB:13Jan22-9_EF66N_S81\tPL:ILLUMINA
13Jan22-10_EF74N_S82	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/13Jan22-10_EF74N_S82_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/13Jan22-10_EF74N_S82_L002_R2_001.fastq.gz	@RG\tID:13Jan22-10_EF74N_S82\tSM:13Jan22-10_EF74N_S82\tPU:none\tLB:13Jan22-10_EF74N_S82\tPL:ILLUMINA
13Jan22-11_EF80N_S83	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/13Jan22-11_EF80N_S83_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/13Jan22-11_EF80N_S83_L002_R2_001.fastq.gz	@RG\tID:13Jan22-11_EF80N_S83\tSM:13Jan22-11_EF80N_S83\tPU:none\tLB:13Jan22-11_EF80N_S83\tPL:ILLUMINA
13Jan22-12_EF96N_S84	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/13Jan22-12_EF96N_S84_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/13Jan22-12_EF96N_S84_L002_R2_001.fastq.gz	@RG\tID:13Jan22-12_EF96N_S84\tSM:13Jan22-12_EF96N_S84\tPU:none\tLB:13Jan22-12_EF96N_S84\tPL:ILLUMINA
Z2E7-H_A4_S71	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/Z2E7-H_A4_S71_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/Z2E7-H_A4_S71_L002_R2_001.fastq.gz	@RG\tID:Z2E7-H_A4_S71\tSM:Z2E7-H_A4_S71\tPU:none\tLB:Z2E7-H_A4_S71\tPL:ILLUMINA
Z2E7-H_S_S70	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/Z2E7-H_S_S70_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/Z2E7-H_S_S70_L002_R2_001.fastq.gz	@RG\tID:Z2E7-H_S_S70\tSM:Z2E7-H_S_S70\tPU:none\tLB:Z2E7-H_S_S70\tPL:ILLUMINA
Z2E7-H_T_S69	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/Z2E7-H_T_S69_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/Z2E7-H_T_S69_L002_R2_001.fastq.gz	@RG\tID:Z2E7-H_T_S69\tSM:Z2E7-H_T_S69\tPU:none\tLB:Z2E7-H_T_S69\tPL:ILLUMINA
Z2E7-L_A4_S66	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/Z2E7-L_A4_S66_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/Z2E7-L_A4_S66_L002_R2_001.fastq.gz	@RG\tID:Z2E7-L_A4_S66\tSM:Z2E7-L_A4_S66\tPU:none\tLB:Z2E7-L_A4_S66\tPL:ILLUMINA
Z2E7-L_S_S67	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/Z2E7-L_S_S67_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/Z2E7-L_S_S67_L002_R2_001.fastq.gz	@RG\tID:Z2E7-L_S_S67\tSM:Z2E7-L_S_S67\tPU:none\tLB:Z2E7-L_S_S67\tPL:ILLUMINA
Z2E7-L_T_S68	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/Z2E7-L_T_S68_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/Z2E7-L_T_S68_L002_R2_001.fastq.gz	@RG\tID:Z2E7-L_T_S68\tSM:Z2E7-L_T_S68\tPU:none\tLB:Z2E7-L_T_S68\tPL:ILLUMINA
Z2E43-F87_S72	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/Z2E43-F87_S72_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/Z2E43-F87_S72_L002_R2_001.fastq.gz	@RG\tID:Z2E43-F87_S72\tSM:Z2E43-F87_S72\tPU:none\tLB:Z2E43-F87_S72\tPL:ILLUMINA
Z13E95-H_A4_S65	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/Z13E95-H_A4_S65_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/Z13E95-H_A4_S65_L002_R2_001.fastq.gz	@RG\tID:Z13E95-H_A4_S65\tSM:Z13E95-H_A4_S65\tPU:none\tLB:Z13E95-H_A4_S65\tPL:ILLUMINA
Z13E95-H_S_S64	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/Z13E95-H_S_S64_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/Z13E95-H_S_S64_L002_R2_001.fastq.gz	@RG\tID:Z13E95-H_S_S64\tSM:Z13E95-H_S_S64\tPU:none\tLB:Z13E95-H_S_S64\tPL:ILLUMINA
Z13E95-H_T_S63	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/Z13E95-H_T_S63_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/Z13E95-H_T_S63_L002_R2_001.fastq.gz	@RG\tID:Z13E95-H_T_S63\tSM:Z13E95-H_T_S63\tPU:none\tLB:Z13E95-H_T_S63\tPL:ILLUMINA
Z13E95-L_A4_S60	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/Z13E95-L_A4_S60_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/Z13E95-L_A4_S60_L002_R2_001.fastq.gz	@RG\tID:Z13E95-L_A4_S60\tSM:Z13E95-L_A4_S60\tPU:none\tLB:Z13E95-L_A4_S60\tPL:ILLUMINA
Z13E95-L_S_S61	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/Z13E95-L_S_S61_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/Z13E95-L_S_S61_L002_R2_001.fastq.gz	@RG\tID:Z13E95-L_S_S61\tSM:Z13E95-L_S_S61\tPU:none\tLB:Z13E95-L_S_S61\tPL:ILLUMINA
Z13E95-L_T_S62	1	ILLUMINA	/home/jamie/220209_AH57GTDMXY/Z13E95-L_T_S62_L002_R1_001.fastq.gz	/home/jamie/220209_AH57GTDMXY/Z13E95-L_T_S62_L002_R2_001.fastq.gz	@RG\tID:Z13E95-L_T_S62\tSM:Z13E95-L_T_S62\tPU:none\tLB:Z13E95-L_T_S62\tPL:ILLUMINA
